Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"11,88","36,06","0,8","1,9",,,,
"11,9","36,17","0,8","1,9",,,,
"11,92","36,28","0,8","1,9",,,,
"11,94","36,39","0,8","1,9",,,,
"11,96","36,49","0,8","1,9",,,,
"11,98","36,59","0,9","1,9",,,,
12,"36,68","0,9","1,9",,,,
"12,02","36,76","0,9","1,9",,,,
"12,04","36,84","0,9","1,9",,,,
"12,06","36,92","0,9","1,9",,,,
"12,08","36,99","0,9","1,9",,,,
"12,1","37,06","0,9","1,9",,,,
"12,12","37,13","0,9","1,9",,,,
"12,14","37,2","0,9","1,9",,,,
"12,16","37,26","0,9","1,9",,,,
"12,18","37,33","0,9",2,,,,
"12,2","37,39","0,9",2,,,,
"12,22","37,43","0,9","1,9",,,,
"12,24","37,49","0,9","1,9",,,,
"12,26","37,54","0,9","1,9",,,,
"12,28","37,59","0,9",2,,,,
"12,3","37,64","0,9","1,9",,,,
"12,32","37,71","0,9",2,,,,
"12,34","37,77","0,9",2,,,,
"12,36","37,84","0,9",2,,,,
"12,38","37,92","0,9","1,9",,,,
"12,4",38,"0,9","1,9",,,,
"12,42","38,08","0,9","1,9",,,,
"12,44","38,17","0,9","1,9",,,,
"12,46","38,25","0,9","1,9",,,,
"12,48","38,33","0,9","1,9",,,,
"12,5","38,43","0,9","1,9",,,,
"12,52","38,51","0,8","1,9",,,,
"12,54","38,6","0,8","1,9",,,,
"12,56","38,69","0,8","1,9",,,,
"12,58","38,77","0,8","1,9",,,,
"12,6","38,85","0,8","1,9",,,,
"12,62","38,91","0,8","1,9",,,,
"12,64","38,97","0,8","1,9",,,,
"12,66","39,04","0,8","1,9",,,,
"12,68","39,1","0,8","1,9",,,,
"12,7","39,17","0,8","1,9",,,,
"12,72","39,24","0,8","1,9",,,,
"12,74","39,3","0,8","1,9",,,,
"12,76","39,36","0,8","1,9",,,,
"12,78","39,42","0,8","1,9",,,,
"12,8","39,48","0,8","1,9",,,,
"12,82","39,54","0,8","1,9",,,,
